,Unnamed: 0,LIBELLE_ARRET,pourc_validations,TRNC_HORR_60,NB_VALD,NB_VALD_HOUR
814,814,PALAISEAU,0.13,4H-5H,1579.603260869565,205.34842391304352
815,815,PALAISEAU,6.32,6H-7H,1579.603260869565,9983.092608695652
816,816,PALAISEAU,19.22,8H-9H,1579.603260869565,30359.974673913042
817,817,PALAISEAU-VILLEBON,2.94,11H-12H,1441.521739130435,4238.073913043478
818,818,PALAISEAU-VILLEBON,4.08,12H-13H,1441.521739130435,5881.408695652174
819,819,PALAISEAU-VILLEBON,3.46,13H-14H,1441.521739130435,4987.6652173913035
820,820,PALAISEAU-VILLEBON,9.99,17H-18H,1441.521739130435,14400.802173913044
821,821,PALAISEAU-VILLEBON,0.64,21H-22H,1441.521739130435,922.5739130434782
822,822,PARC DES EXPOSITIONS,19.67,17H-18H,3891.5494505494507,76546.77769230769
823,823,PARC DES EXPOSITIONS,2.69,7H-8H,3891.5494505494507,10468.268021978023
824,824,PARC DES EXPOSITIONS,2.57,8H-9H,3891.5494505494507,10001.282087912088
825,825,PARC-DE-SCEAUX,3.05,10H-11H,1289.2391304347825,3932.179347826087
826,826,PARC-DE-SCEAUX,2.77,11H-12H,1289.2391304347825,3571.1923913043474
827,827,PARC-DE-SCEAUX,3.67,12H-13H,1289.2391304347825,4731.5076086956515
828,828,PARC-DE-SCEAUX,2.69,14H-15H,1289.2391304347825,3468.053260869565
829,829,PARC-DE-SCEAUX,3.63,15H-16H,1289.2391304347825,4679.9380434782615
830,830,PARC-DE-SCEAUX,11.41,17H-18H,1289.2391304347825,14710.21847826087
831,831,PARC-DE-SCEAUX,11.69,18H-19H,1289.2391304347825,15071.205434782607
832,832,PARC-DE-SCEAUX,0.0,2H-3H,1289.2391304347825,0.0
833,833,PARC-DE-SCEAUX,0.0,3H-4H,1289.2391304347825,0.0
834,834,PARC-DE-SCEAUX,0.12,4H-5H,1289.2391304347825,154.7086956521739
835,835,PARC-DE-SCEAUX,12.35,7H-8H,1289.2391304347825,15922.103260869562
836,836,PORT ROYAL,0.01,1H-2H,7467.16847826087,74.6716847826087
837,837,PORT ROYAL,2.26,22H-23H,7467.16847826087,16875.800760869566
838,838,PORT ROYAL,1.42,23H-0H,7467.16847826087,10603.379239130434
839,839,PORT ROYAL,0.0,2H-3H,7467.16847826087,0.0
840,840,ROBINSON,2.97,10H-11H,4981.239130434783,14794.280217391306
841,841,ROBINSON,7.01,18H-19H,4981.239130434783,34918.486304347825
842,842,ROBINSON,0.18,4H-5H,4981.239130434783,896.6230434782608
843,843,AEROPORT CHARLES DE GAULLE 1,11.34,17H-18H,4751.359550561798,53880.41730337079
844,844,AEROPORT CHARLES DE GAULLE 1,8.79,18H-19H,4751.359550561798,41764.4504494382
845,845,AEROPORT CHARLES DE GAULLE 1,0.55,3H-4H,4751.359550561798,2613.247752808989
846,846,AEROPORT CHARLES DE GAULLE 2-TGV,7.58,14H-15H,6158.989071038252,46685.137158469945
847,847,AEROPORT CHARLES DE GAULLE 2-TGV,3.93,21H-22H,6158.989071038252,24204.82704918033
848,848,AEROPORT CHARLES DE GAULLE 2-TGV,1.61,23H-0H,6158.989071038252,9915.972404371585
849,849,AEROPORT CHARLES DE GAULLE 2-TGV,0.25,2H-3H,6158.989071038252,1539.7472677595626
