,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
432,92022,53.35227273,7.849056603999999,29561.0,5280.67226891,0.5723269406603022,24.04945054945055,29.77747252747253,27.524725274725274,MACRON Emmanuel,8.0,29560.8,100.0,1874160.01,6049.44,5064.0
441,92048,52.86067092,9.884138673999999,28076.0,4523.61809045,0.5199085342137648,25.085164835164836,30.074175824175825,28.78846153846154,MACRON Emmanuel,9.0,28076.0,368.0,2047998.72826087,6815.59239130435,4989.0
450,91689,66.28462273,7.9488999289999995,27131.0,668.092105263,0.4100460231357845,26.84065934065934,30.763736263736263,30.494505494505493,MACRON Emmanuel,5.0,27131.1111111,,,,4002.0
459,94034,52.93726236,10.04212945,22226.0,7407.58426966,0.3604429337314759,27.376373626373628,30.4010989010989,30.88736263736264,MACRON Emmanuel,13.0,22226.0869565,,,,3135.0
468,91377,40.68946293,11.14552253,22511.0,4570.24442083,0.4712248353247098,25.01923076923077,31.384615384615383,29.206043956043956,MACRON Emmanuel,15.0,22511.0,,,,3379.0
477,92002,58.90037487,9.393049276000001,29100.0,6486.61087866,0.558463423992563,26.39010989010989,30.895604395604394,29.96153846153846,MACRON Emmanuel,8.0,29099.523809500002,229.0,1983851.71615721,7066.10917030568,4812.0
486,91136,69.98972251,9.077809797999999,23459.0,699.730458221,0.26204183159002986,23.63736263736264,31.21978021978022,28.214285714285715,MÉLENCHON Jean-Luc,10.0,23459.1794872,,,,3383.0
495,91645,69.68703916,7.294292068,33933.0,1554.95495495,0.5838891380602468,24.11813186813187,31.156593406593405,28.164835164835164,MACRON Emmanuel,5.0,33933.4,,,,4371.0
504,92014,50.30843798,9.750320733999999,31039.0,10743.010752700002,0.6364310157377085,26.939560439560438,30.13186813186813,30.51923076923077,MACRON Emmanuel,9.0,31038.6666667,149.0,2184139.87919463,8601.63758389262,5057.0
513,92060,43.94994134,7.887603306,27545.0,8244.28152493,0.4915585672109094,24.736263736263737,30.425824175824175,28.560439560439562,MACRON Emmanuel,6.0,27545.277777799998,69.0,2007167.28985507,6522.44927536232,4976.0
522,92071,48.93244662,8.931219345,33503.0,5536.11111111,0.659050671092319,26.266483516483518,30.554945054945055,29.906593406593405,MACRON Emmanuel,6.0,33503.0,,,,5717.0
531,92019,41.54157044,11.77164865,24150.0,5028.68338558,0.47237974284166756,25.005494505494507,30.824175824175825,28.75,MACRON Emmanuel,12.0,24150.0,95.0,2098436.31578947,8312.54736842105,4319.0
540,91425,60.69745523,7.8366725839999996,24892.0,2114.15662651,0.36584579127159683,20.821428571428573,32.222527472527474,26.37912087912088,FILLON François,8.0,24892.0,,,,2845.0
549,91347,82.15158924,7.663316582999999,26904.0,1277.31755424,0.3886348791639451,21.467032967032967,32.17307692307692,26.706043956043956,MACRON Emmanuel,10.0,26903.5,,,,2992.0
558,91685,69.19220056,9.275618375,26228.0,2170.94972067,0.4130990415335463,22.032967032967033,31.945054945054945,27.01923076923077,MACRON Emmanuel,5.0,26228.0952381,,,,3173.0
567,92023,50.45489522,10.84588031,26163.0,6019.52054795,0.4651100671951318,25.563186813186814,30.40934065934066,29.38186813186813,MACRON Emmanuel,12.0,26162.6666667,238.0,2025761.18907563,6803.97899159664,5229.0
576,92020,46.36676077,9.322536046,27542.0,11401.0238908,0.5257876868138489,26.417582417582416,29.873626373626372,30.17032967032967,MACRON Emmanuel,9.0,27542.4,75.0,2089412.92,7767.56,5311.0
585,92032,42.56198347,10.91821973,24923.0,9204.743083,0.49592713325839805,25.645604395604394,30.324175824175825,29.315934065934066,MACRON Emmanuel,11.0,24922.8125,67.0,1964281.04477612,6220.5671641791,4564.0
594,91339,73.79364457,8.776896942,24779.0,857.763157895,0.29484303007039087,20.365384615384617,32.42857142857143,26.14010989010989,LE PEN Marine,10.0,24779.047619,,,,2858.0
603,91665,72.85921626,9.366031829,25432.0,2005.07042254,0.3295101088646967,21.162087912087912,32.112637362637365,26.645604395604394,MACRON Emmanuel,7.0,25431.5384615,,,,3167.0
612,91333,81.40262993,9.336188437,25615.0,1637.6,0.3543925737855868,19.678571428571427,32.23076923076923,25.818681318681318,MACRON Emmanuel,8.0,25615.3333333,,,,2903.0
