,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
1278,95212,48.93617021,8.196721311000001,,28.5714285714,0.2692307692307695,24.321428571428573,31.425824175824175,30.337912087912088,LE PEN Marine,,,,,,
1287,94058,61.42074312,9.643593857,28317.0,8387.37373737,0.4970395510864276,30.233516483516482,29.5,31.86263736263736,MACRON Emmanuel,9.0,28317.0,172.0,2015398.15116279,6368.52906976744,4879.0
1296,93049,60.12380416,11.43737539,24036.0,6053.50877193,0.3927098209299759,29.203296703296704,30.052197802197803,31.524725274725274,MACRON Emmanuel,13.0,24035.8333333,,,,3730.0
1305,93033,75.60553633,7.260435038,27681.0,3883.23353293,0.44303538555941924,27.88186813186813,30.642857142857142,31.186813186813186,FILLON François,7.0,27681.2,,,,3861.0
1314,93032,58.58157878,13.75123756,21113.0,5633.47639485,0.2985310067780572,28.423076923076923,31.068681318681318,31.521978021978022,MACRON Emmanuel,17.0,21113.3333333,,,,3106.0
1323,93064,46.46579805,13.95764454,19947.0,6968.58108108,0.30534072858103684,30.054945054945055,30.076923076923077,31.782967032967033,MÉLENCHON Jean-Luc,20.0,19946.6666667,,,,3329.0
1332,93062,55.85835258,12.04478015,26564.0,6135.68281938,0.44559414758186755,28.203296703296704,30.483516483516482,31.28021978021978,FILLON François,12.0,26563.7391304,,,,3821.0
1341,93077,51.71040871,12.12610069,21782.0,7021.78217822,0.3437078558544856,29.052197802197803,30.505494505494507,31.689560439560438,MACRON Emmanuel,19.0,21782.222222200002,52.0,2197709.59615385,8727.30769230769,3388.0
1350,93050,43.97499461,13.44687195,19199.0,4878.766140600001,0.29804535917756075,28.763736263736263,30.673076923076923,31.384615384615383,MÉLENCHON Jean-Luc,21.0,19199.210526299998,,,,2975.0
1359,93010,42.7361831,22.50833944,15978.0,9680.83941606,0.21098639332041327,29.76098901098901,30.09065934065934,31.48901098901099,MÉLENCHON Jean-Luc,31.0,15978.333333300001,,,,2968.0
1368,93057,56.08568647,13.24068548,20357.0,7548.46416382,0.2993498792306535,28.706043956043956,30.23076923076923,31.228021978021978,MACRON Emmanuel,20.0,20357.3913043,,,,3141.0
1377,93063,34.86247264,19.41551376,17681.0,7394.782608699999,0.2734842637300785,31.34065934065934,29.291208791208792,31.96978021978022,MÉLENCHON Jean-Luc,26.0,17681.25,,,,4178.0
1386,93071,48.91767211,20.567313600000002,15784.0,6856.57534247,0.1902397343373093,28.717032967032967,30.84065934065934,31.656593406593405,MÉLENCHON Jean-Luc,31.0,15783.6013514,,,,2597.0
1395,93005,48.1472578,19.55993449,17211.0,5069.96904025,0.22746816408105566,29.964285714285715,30.85989010989011,32.01923076923077,MÉLENCHON Jean-Luc,27.0,17210.6060606,,,,3176.0
1404,95612,69.90654206,13.56238698,20863.0,1041.41414141,0.2174697631382343,25.884615384615383,31.384615384615383,30.414835164835164,LE PEN Marine,15.0,20862.6666667,,,,2720.0
1413,95280,53.62776025,18.21385776,16800.0,2716.31762653,0.1602494653111851,25.134615384615383,31.928571428571427,30.263736263736263,MÉLENCHON Jean-Luc,27.0,16800.0,,,,2873.0
1422,95019,71.54158215,16.19433198,18983.0,4769.79166667,0.21033351713348675,26.13186813186813,31.35989010989011,29.763736263736263,MÉLENCHON Jean-Luc,21.0,18983.3333333,,,,2925.0
1431,95351,61.69582773,11.76816135,21284.0,841.674008811,0.2654191907801295,24.173076923076923,32.15659340659341,30.181318681318682,MÉLENCHON Jean-Luc,12.0,21283.846153799997,,,,2833.0
1440,95154,65.13761468,7.2289156629999995,23307.0,73.0434782609,0.24120603015075334,23.39010989010989,31.653846153846153,30.063186813186814,LE PEN Marine,,23306.6666667,,,,1818.0
1449,95633,70.58823529,12.0,,790.0,0.10447761194029849,25.884615384615383,31.384615384615383,30.414835164835164,LE PEN Marine,,,,,,
1458,95675,74.14965986,7.126436782000001,27120.0,147.810858144,0.27874922200070457,23.22252747252747,32.244505494505496,29.964285714285715,LE PEN Marine,,27119.5,,,,3136.0
1467,95094,62.5,11.03896104,22422.0,119.434628975,0.1802392075155055,23.65934065934066,31.85164835164835,29.326923076923077,LE PEN Marine,,22421.6,,,,2634.0
1476,93014,35.62541657,22.25950783,13204.0,7553.16455696,0.13322932823962175,28.11263736263736,30.92032967032967,31.35989010989011,MÉLENCHON Jean-Luc,45.0,13204.0,,,,1636.0
1485,77282,69.64285714,14.12429379,23069.0,36.311569301300004,0.1851851851851853,25.25,31.48901098901099,30.714285714285715,LE PEN Marine,,23068.936170200002,,,,2353.0
1494,95509,86.07003891,9.246954596,24496.0,632.625482625,0.27332051628486015,21.59065934065934,32.73351648351648,29.02747252747253,MACRON Emmanuel,8.0,24496.0,,,,2750.0
1503,77294,60.80110497,13.511849800000002,21333.0,628.857715431,0.21986455815172082,27.49175824175824,31.42032967032967,32.19505494505494,MÉLENCHON Jean-Luc,12.0,21333.3333333,,,,3015.0
1512,77291,44.69453376,12.9787234,21310.0,86.5717192269,0.17391304347826086,25.48076923076923,31.307692307692307,31.01923076923077,LE PEN Marine,,21310.0,,,,2753.0
1521,95250,74.60770328,10.63605729,21960.0,2637.46556474,0.2543326238978408,19.285714285714285,32.925824175824175,28.23076923076923,MÉLENCHON Jean-Luc,11.0,21960.0,,,,2591.0
1530,95604,57.1774682,11.4379085,21811.0,720.84095064,0.27882227740333504,20.082417582417584,32.510989010989015,28.96978021978022,LE PEN Marine,9.0,21810.952381,,,,2473.0
1539,95580,89.55223881,7.078853047000001,34466.0,341.153342071,0.49980603422979025,21.01923076923077,32.52472527472528,29.35989010989011,FILLON François,,34466.0,,,,2645.0
1548,95641,62.44635193,9.923664122,24984.0,266.142684401,0.3195093457943923,22.478021978021978,32.21978021978022,29.89835164835165,LE PEN Marine,,24984.2857143,,,,2871.0
1557,77322,79.6579658,7.841945289,25258.0,197.643097643,0.2712580306948588,21.97252747252747,32.5,29.728021978021978,LE PEN Marine,,25257.619047599997,,,,2507.0
1566,95371,79.83909134,9.710094307,25027.0,631.68771527,0.2990771450680292,21.195054945054945,32.76923076923077,29.085164835164836,LE PEN Marine,6.0,25026.5384615,,,,2884.0
1575,95144,43.47826087,4.87804878,,22.8295819936,0.6153846153846145,21.456043956043956,32.604395604395606,28.846153846153847,FILLON François,,,,,,
1584,77323,68.359375,8.571428571,24581.0,136.89320388299998,0.2915326902465166,22.255494505494507,32.08791208791209,29.873626373626372,LE PEN Marine,,24581.428571400003,,,,3059.0
1593,77259,56.52173913,14.14296695,23653.0,529.892473118,0.2632312886569906,20.642857142857142,32.065934065934066,29.667582417582416,LE PEN Marine,,23652.8,,,,2696.0
1602,77511,49.60629921,10.8401084,21332.0,84.0158520476,0.21513002364066192,23.145604395604394,31.587912087912088,30.4010989010989,LE PEN Marine,,21331.7241379,,,,2984.0
1611,77123,71.72995781,7.852193995,24092.0,135.902255639,0.19373953180736272,23.87087912087912,31.21153846153846,31.23076923076923,LE PEN Marine,,24092.222222200002,,,,2599.0
1620,93027,25.74071591,25.96860219,13399.0,5164.98002663,0.17446974362075898,31.568681318681318,30.313186813186814,31.483516483516482,MÉLENCHON Jean-Luc,43.0,13399.3333333,,,,2818.0
1629,93001,22.11859384,23.41663394,13241.0,13079.2387543,0.19671134572321547,33.59065934065934,29.50824175824176,32.71978021978022,MÉLENCHON Jean-Luc,45.0,13240.6666667,,,,3312.0
1638,95210,54.076602199999996,10.99099099,28985.0,6531.07344633,0.5220654038400284,27.11263736263736,30.607142857142858,29.785714285714285,FILLON François,9.0,28984.782608700003,,,,4514.0
1647,93066,22.95328294,23.32087171,14622.0,8704.52342488,0.24963944523872084,33.41208791208791,30.27747252747253,33.032967032967036,MÉLENCHON Jean-Luc,38.0,14621.5,,,,3335.0
1656,92078,24.08742927,18.83416017,16843.0,8013.75,0.2146718601483707,30.26923076923077,29.725274725274726,31.46978021978022,MÉLENCHON Jean-Luc,25.0,16843.3333333,,,,3234.0
1665,95197,60.39270992,9.757151498999999,22731.0,5785.56149733,0.4036495778937191,27.346153846153847,31.208791208791208,29.793956043956044,MACRON Emmanuel,14.0,22731.0,,,,3231.0
1674,95555,48.56620587,15.04336557,21729.0,7464.59854015,0.34564342932093084,27.0989010989011,30.75824175824176,29.994505494505493,MACRON Emmanuel,15.0,21728.571428599997,,,,3360.0
1683,93072,30.3742838,21.42978051,14598.0,6461.96660482,0.15490461843080355,29.293956043956044,30.95054945054945,30.505494505494507,MÉLENCHON Jean-Luc,38.0,14598.333333300001,,,,2778.0
1692,93031,34.99680102,17.80185759,15844.0,11856.5217391,0.20658783631077582,29.302197802197803,30.49175824175824,30.832417582417584,MÉLENCHON Jean-Luc,31.0,15843.888888899999,,,,2619.0
1701,93059,36.14530777,21.77345885,14527.0,8123.47826087,0.17010551516413766,29.013736263736263,30.892857142857142,30.36263736263736,MÉLENCHON Jean-Luc,37.0,14526.666666699999,,,,2792.0
1710,93039,24.08616188,22.85104111,15772.0,4021.14285714,0.2705745341614907,30.596153846153847,30.052197802197803,31.593406593406595,MÉLENCHON Jean-Luc,31.0,15772.0,,,,2967.0
1719,92036,20.35648299,20.40407718,16716.0,3602.23367698,0.23195395863118073,31.53846153846154,29.997252747252748,32.18131868131868,MÉLENCHON Jean-Luc,27.0,16716.0,,,,3788.0
1728,95427,57.02378532,14.59267275,19056.0,4828.62068966,0.2843564335561323,27.593406593406595,31.274725274725274,29.873626373626372,MÉLENCHON Jean-Luc,22.0,19055.588235299998,,,,2750.0
1737,95268,35.34163332,20.11576626,14182.0,7303.30882353,0.17248967179740882,28.35989010989011,31.173076923076923,30.315934065934066,MÉLENCHON Jean-Luc,39.0,14182.0,,,,2437.0
1746,93045,38.92008235,14.68377945,22546.0,17861.111111099995,0.43380674454235774,31.804945054945055,28.785714285714285,32.285714285714285,MÉLENCHON Jean-Luc,16.0,22545.8333333,,,,5612.0
1755,93079,24.85549133,24.83801296,14801.0,5425.75107296,0.17467465899261328,28.38186813186813,30.554945054945055,30.252747252747252,MÉLENCHON Jean-Luc,33.0,14801.0,,,,2753.0
1764,95585,32.54310345,22.31088414,15074.0,6960.42908224,0.18599935625080002,26.791208791208792,32.03021978021978,29.717032967032967,MÉLENCHON Jean-Luc,34.0,15073.5,,,,2263.0
1773,95598,57.15438408,11.85361973,23743.0,4438.2278481,0.3518645336600735,26.266483516483518,31.57967032967033,29.42032967032967,MACRON Emmanuel,12.0,23742.6666667,,,,3465.0
1782,95428,57.70276393,10.97976357,26411.0,4020.15355086,0.43907926426751565,26.37912087912088,31.912087912087912,29.36813186813187,FILLON François,11.0,26411.111111099995,117.0,2241278.23931624,10005.9230769231,3417.0
1791,93006,35.04484151,18.09603109,16583.0,13429.1828794,0.3052052302968593,31.928571428571427,28.876373626373628,32.78021978021978,MÉLENCHON Jean-Luc,31.0,16583.0,,,,4470.0
1800,94080,48.44394601,9.411596175,31451.0,25470.6806283,0.6353706712252354,31.310439560439562,28.626373626373628,32.43956043956044,MACRON Emmanuel,8.0,31450.6666667,413.0,2031931.28571429,7426.08716707022,7226.0
1809,92004,42.18865533,11.44517322,24371.0,17297.9253112,0.5041270092439741,31.75824175824176,29.326923076923077,32.84340659340659,MACRON Emmanuel,16.0,24370.5,280.0,2242350.46785714,8032.55714285714,5379.0
1818,92009,52.22045995,10.01427697,28760.0,14988.0829016,0.5245850572848743,29.593406593406595,29.065934065934066,31.835164835164836,MACRON Emmanuel,11.0,28760.0,115.0,1905505.53913043,5348.77391304348,5568.0
1827,93048,36.29972565,17.66897747,18428.0,11580.6741573,0.39575758155444285,32.12362637362637,29.516483516483518,33.027472527472526,MÉLENCHON Jean-Luc,26.0,18428.0,79.0,1995166.4556962,6756.94936708861,4774.0
1836,93055,32.28955533,17.621512699999997,16851.0,10652.8712871,0.35149167384639807,32.53021978021978,29.104395604395606,32.324175824175825,MÉLENCHON Jean-Luc,29.0,16851.4285714,,,,4646.0
1845,95369,76.46090535,8.398576512,29717.0,3934.24657534,0.49350923624301457,23.97252747252747,32.027472527472526,28.296703296703296,MACRON Emmanuel,,29716.9444444,,,,3379.0
1854,95680,35.77054066,21.85263158,14903.0,3757.26027397,0.18720579043358057,25.357142857142858,31.967032967032967,29.554945054945055,MÉLENCHON Jean-Luc,35.0,14903.076923100001,,,,2431.0
1863,95205,63.38276836,10.64220183,23629.0,958.453473132,0.3270264782462546,23.906593406593405,32.46978021978022,28.978021978021978,MACRON Emmanuel,9.0,23628.5,,,,2822.0
1872,95489,84.6743295,12.35294118,26431.0,175.54479418900002,0.33602804579583034,23.65934065934066,32.26373626373626,28.326923076923077,FILLON François,,26431.3333333,,,,2844.0
1881,95539,62.25800615,12.81595846,22681.0,2397.49582638,0.3263447751217142,25.326923076923077,31.986263736263737,29.041208791208792,FILLON François,12.0,22681.0,,,,3080.0
1890,95288,67.50798722,10.98578841,23951.0,2780.64516129,0.3489782250242504,26.107142857142858,31.51098901098901,29.285714285714285,MACRON Emmanuel,11.0,23950.869565200002,,,,3005.0
1899,94052,55.36887745,9.879889128,30242.0,11355.357142899999,0.5779730340097899,30.554945054945055,28.986263736263737,32.11538461538461,MACRON Emmanuel,9.0,30241.6666667,294.0,2167697.41156463,8197.05102040816,5568.0
1908,94033,45.63779528,14.03482989,23149.0,9448.56630824,0.42468268612914567,30.958791208791208,29.417582417582416,32.2032967032967,MACRON Emmanuel,15.0,23149.1666667,246.0,2325899.37804878,8819.60162601626,5193.0
1917,95492,41.66666667,2.43902439,,16.7070217918,0.23214285714285715,22.826923076923077,32.25,28.936813186813186,FILLON François,,,,,,2347.0
1926,75112,30.19165879,10.67485607,27110.0,,0.5899074972473987,33.62362637362637,29.178571428571427,34.47802197802198,,14.0,27110.0,1051.0,2173503.94100856,8502.38058991437,
1935,94015,69.60083408,8.156288156,29024.0,4800.900900899999,0.4966813850421527,29.733516483516482,29.403846153846153,31.642857142857142,MACRON Emmanuel,8.0,29023.6666667,,,,4375.0
1944,77108,56.19471098,12.01672686,21726.0,3299.00062461,0.30520647667921985,27.85989010989011,31.54945054945055,31.5989010989011,MACRON Emmanuel,15.0,21725.5172414,,,,3019.0
1953,77363,80.2238806,6.605019815,25463.0,188.558692422,0.25090665850657934,26.337912087912088,31.27747252747253,31.436813186813186,LE PEN Marine,,25462.6666667,,,,2921.0
1962,92026,42.04783452,8.91659752,29389.0,21230.2158273,0.6015614671076179,30.074175824175825,28.412087912087912,32.51648351648352,MACRON Emmanuel,10.0,29389.130434799998,327.0,1957862.86544343,6981.86544342508,6021.0
1971,94054,34.58957728,17.80572262,17754.0,3195.2023988,0.24331001899141272,27.681318681318682,30.47252747252747,31.25824175824176,MÉLENCHON Jean-Luc,22.0,17754.0,,,,3141.0
1980,77479,58.52861035,11.27713117,24047.0,2107.23684211,0.3264713433250002,26.967032967032967,31.354395604395606,31.225274725274726,MACRON Emmanuel,13.0,24047.3913043,,,,3164.0
1989,77055,50.47619048,11.495327099999999,21300.0,987.214611872,0.25150161271681254,26.01923076923077,31.23901098901099,31.01923076923077,MÉLENCHON Jean-Luc,11.0,21300.0,,,,2601.0
1998,77517,85.90704648,7.988450433,25751.0,202.7,0.283286023102742,25.423076923076923,31.45054945054945,31.178571428571427,LE PEN Marine,,25750.6666667,,,,2145.0
2007,77214,89.64497041,6.3131313129999995,33300.0,268.452380952,0.4446280991735532,23.86813186813187,31.217032967032967,31.145604395604394,FILLON François,,33300.0,,,,4188.0
2016,77462,57.09876543,7.8602620089999995,22428.0,66.6389351082,0.2233880027296696,23.86263736263736,31.62912087912088,31.134615384615383,LE PEN Marine,,22428.3333333,,,,2834.0
2025,77153,66.88154714,8.845780795,24386.0,917.5555555560001,0.3131757020085443,20.928571428571427,32.31043956043956,29.994505494505493,LE PEN Marine,7.0,24386.0,,,,2584.0
2034,77118,62.70032051,9.857819905,25529.0,736.5562913910001,0.30011631411049455,25.074175824175825,31.736263736263737,31.486263736263737,LE PEN Marine,7.0,25528.6666667,,,,3222.0
2043,77420,80.04322767,9.186746988,24674.0,610.56,0.22983168431237014,20.997252747252748,31.89835164835165,30.087912087912088,LE PEN Marine,6.0,24673.5,,,,2618.0
2052,77427,86.12440191,6.3583815029999995,25467.0,74.448767834,0.2971014492753618,22.041208791208792,31.587912087912088,30.78021978021978,LE PEN Marine,,25466.9565217,,,,3040.0
2061,77372,57.81637717,10.32289628,25351.0,485.890410959,0.3217171547088332,25.524725274725274,31.42032967032967,30.925824175824175,MACRON Emmanuel,9.0,25351.0,,,,2992.0
2070,77005,78.76106195,7.572254335,26606.0,246.67685255900003,0.347326557666814,24.01923076923077,31.733516483516482,30.986263736263737,LE PEN Marine,,26606.0,,,,2707.0
2079,77062,78.53403141,6.465517241000001,26661.0,305.0,0.345016402534863,23.15934065934066,31.38736263736264,30.26098901098901,FILLON François,,26661.3333333,,,,3482.0
2088,77332,79.59183673,5.128205128,25138.0,51.7441860465,0.2108012690560502,21.9010989010989,31.395604395604394,30.607142857142858,LE PEN Marine,,25138.4,,,,2514.0
2097,77292,68.69158879,5.5732484079999995,26842.0,106.608357629,0.3393810904997153,23.315934065934066,31.72252747252747,31.203296703296704,LE PEN Marine,,26842.222222200002,,,,3053.0
2106,77241,77.58112094,7.9198473279999995,24217.0,282.816537468,0.2268390378662823,21.291208791208792,31.67032967032967,30.307692307692307,LE PEN Marine,,24217.222222200002,,,,2351.0
2115,77525,80.74074074,11.57407407,25123.0,67.1077504726,0.17938931297709923,20.203296703296704,31.64010989010989,30.123626373626372,LE PEN Marine,,25123.3333333,,,,1149.0
