,date,ninsee,no2,o3,pm10
244408,06/07/2017,91471,27,56,40
244410,06/07/2017,91477,28,57,42
244475,06/07/2017,92002,32,57,44
244480,06/07/2017,92014,32,57,44
244512,06/07/2017,93005,31,56,39
244514,06/07/2017,93007,34,56,40
244517,06/07/2017,93013,37,55,40
244520,06/07/2017,93027,42,56,42
244521,06/07/2017,93029,37,55,40
244542,06/07/2017,93066,47,58,44
244549,06/07/2017,93078,27,56,39
244553,06/07/2017,94003,36,57,45
244566,06/07/2017,94037,38,57,45
244742,06/07/2017,95527,28,58,39
244794,07/07/2017,75103,34,54,39
244796,07/07/2017,75105,33,54,39
244801,07/07/2017,75110,34,56,40
244805,07/07/2017,75114,32,55,39
245551,07/07/2017,78575,11,51,32
245625,07/07/2017,91122,14,51,32
245667,07/07/2017,91272,13,51,32
245693,07/07/2017,91377,24,56,37
245717,07/07/2017,91471,15,52,34
245719,07/07/2017,91477,19,54,34
245784,07/07/2017,92002,26,58,37
245789,07/07/2017,92014,27,58,37
245821,07/07/2017,93005,31,65,32
245823,07/07/2017,93007,29,65,32
245826,07/07/2017,93013,28,63,32
245829,07/07/2017,93027,31,63,34
245830,07/07/2017,93029,29,64,32
245851,07/07/2017,93066,33,63,39
245858,07/07/2017,93078,32,63,34
245862,07/07/2017,94003,29,56,39
245875,07/07/2017,94037,31,56,39
246051,07/07/2017,95527,27,58,34
246103,08/07/2017,75103,14,42,24
246105,08/07/2017,75105,15,43,24
246110,08/07/2017,75110,18,41,24
246114,08/07/2017,75114,19,43,24
246860,08/07/2017,78575,8,48,20
246934,08/07/2017,91122,8,50,20
246976,08/07/2017,91272,8,49,20
247002,08/07/2017,91377,9,51,22
247026,08/07/2017,91471,8,50,20
247028,08/07/2017,91477,8,50,20
247093,08/07/2017,92002,9,51,22
247098,08/07/2017,92014,10,48,22
247130,08/07/2017,93005,13,42,20
247132,08/07/2017,93007,14,42,19
247135,08/07/2017,93013,11,41,19
247138,08/07/2017,93027,11,41,19
247139,08/07/2017,93029,15,42,19
247160,08/07/2017,93066,14,40,22
247167,08/07/2017,93078,12,41,20
247171,08/07/2017,94003,12,45,22
247184,08/07/2017,94037,13,44,24
247360,08/07/2017,95527,11,40,20
247412,09/07/2017,75103,23,45,32
247414,09/07/2017,75105,23,46,32
247419,09/07/2017,75110,26,45,32
247423,09/07/2017,75114,25,47,32
248169,09/07/2017,78575,14,48,32
248243,09/07/2017,91122,14,47,32
248285,09/07/2017,91272,14,47,32
248311,09/07/2017,91377,14,48,34
248335,09/07/2017,91471,14,47,32
248337,09/07/2017,91477,14,48,32
248402,09/07/2017,92002,15,49,34
248407,09/07/2017,92014,16,49,34
248439,09/07/2017,93005,20,48,30
248441,09/07/2017,93007,21,48,30
248444,09/07/2017,93013,21,48,30
248447,09/07/2017,93027,22,48,30
248448,09/07/2017,93029,23,48,30
248469,09/07/2017,93066,24,49,32
248476,09/07/2017,93078,19,49,32
248480,09/07/2017,94003,19,48,34
248493,09/07/2017,94037,20,48,34
248669,09/07/2017,95527,19,48,32
248721,10/07/2017,75103,23,22,25
248723,10/07/2017,75105,22,22,25
248728,10/07/2017,75110,24,22,25
248732,10/07/2017,75114,21,23,25
249478,10/07/2017,78575,8,27,25
249552,10/07/2017,91122,10,28,25
249594,10/07/2017,91272,9,28,25
249620,10/07/2017,91377,15,27,25
249644,10/07/2017,91471,11,28,25
249646,10/07/2017,91477,13,28,24
249711,10/07/2017,92002,17,25,25
249716,10/07/2017,92014,18,24,25
249748,10/07/2017,93005,22,24,25
249750,10/07/2017,93007,20,24,22
249753,10/07/2017,93013,18,24,20
249756,10/07/2017,93027,20,25,22
249757,10/07/2017,93029,21,24,22
249778,10/07/2017,93066,23,25,25
249785,10/07/2017,93078,24,24,27
249789,10/07/2017,94003,19,23,25
249802,10/07/2017,94037,19,22,25
249978,10/07/2017,95527,19,27,25
250030,11/07/2017,75103,27,28,25
250032,11/07/2017,75105,26,28,25
250037,11/07/2017,75110,30,30,27
250041,11/07/2017,75114,25,30,27
250787,11/07/2017,78575,14,34,29
250861,11/07/2017,91122,16,34,29
250903,11/07/2017,91272,16,34,29
250929,11/07/2017,91377,21,33,29
250953,11/07/2017,91471,17,34,29
250955,11/07/2017,91477,19,33,29
251020,11/07/2017,92002,22,33,29
251025,11/07/2017,92014,23,32,29
251057,11/07/2017,93005,27,35,30
251059,11/07/2017,93007,28,34,29
251062,11/07/2017,93013,29,34,27
251065,11/07/2017,93027,31,34,27
251066,11/07/2017,93029,29,34,29
251087,11/07/2017,93066,32,34,27
251094,11/07/2017,93078,25,35,30
251098,11/07/2017,94003,23,31,27
251111,11/07/2017,94037,24,30,27
251287,11/07/2017,95527,25,35,30
251339,12/07/2017,75103,17,26,19
251341,12/07/2017,75105,17,27,20
251346,12/07/2017,75110,20,26,19
251350,12/07/2017,75114,20,27,19
252096,12/07/2017,78575,8,29,17
252170,12/07/2017,91122,9,30,17
252212,12/07/2017,91272,9,30,17
252238,12/07/2017,91377,12,28,19
252262,12/07/2017,91471,10,29,17
252264,12/07/2017,91477,10,29,19
252329,12/07/2017,92002,12,28,20
252334,12/07/2017,92014,12,28,19
252366,12/07/2017,93005,14,30,15
252368,12/07/2017,93007,14,29,15
252371,12/07/2017,93013,14,29,15
252374,12/07/2017,93027,16,30,15
252375,12/07/2017,93029,15,29,15
252396,12/07/2017,93066,18,30,17
252403,12/07/2017,93078,14,30,15
252407,12/07/2017,94003,14,27,20
252420,12/07/2017,94037,15,26,20
252596,12/07/2017,95527,14,30,15
252648,13/07/2017,75103,23,34,30
252650,13/07/2017,75105,23,35,32
252655,13/07/2017,75110,30,33,34
252659,13/07/2017,75114,28,35,34
253405,13/07/2017,78575,15,40,25
253479,13/07/2017,91122,17,40,27
253521,13/07/2017,91272,17,41,25
253547,13/07/2017,91377,20,38,30
253571,13/07/2017,91471,17,39,27
253573,13/07/2017,91477,17,38,27
253638,13/07/2017,92002,21,36,30
253643,13/07/2017,92014,20,35,30
253675,13/07/2017,93005,23,38,29
253677,13/07/2017,93007,21,37,29
253680,13/07/2017,93013,18,37,29
253683,13/07/2017,93027,21,38,30
253684,13/07/2017,93029,20,37,29
253705,13/07/2017,93066,27,38,35
253712,13/07/2017,93078,22,39,29
253716,13/07/2017,94003,21,35,32
253729,13/07/2017,94037,21,35,32
253905,13/07/2017,95527,19,37,29
253957,14/07/2017,75103,11,35,24
253959,14/07/2017,75105,10,34,24
253964,14/07/2017,75110,13,35,24
253968,14/07/2017,75114,12,35,24
254714,14/07/2017,78575,9,35,19
254788,14/07/2017,91122,9,37,19
254830,14/07/2017,91272,9,36,19
254856,14/07/2017,91377,10,36,20
254880,14/07/2017,91471,9,37,19
254882,14/07/2017,91477,9,37,19
254947,14/07/2017,92002,11,36,20
254952,14/07/2017,92014,10,36,22
254984,14/07/2017,93005,14,39,24
254986,14/07/2017,93007,12,39,24
254989,14/07/2017,93013,9,38,24
254992,14/07/2017,93027,9,38,24
254993,14/07/2017,93029,11,38,24
255014,14/07/2017,93066,12,38,25
255021,14/07/2017,93078,16,39,24
255025,14/07/2017,94003,11,35,22
255038,14/07/2017,94037,11,35,24
255214,14/07/2017,95527,14,38,24
255266,15/07/2017,75103,14,41,29
255268,15/07/2017,75105,13,42,27
255273,15/07/2017,75110,17,42,29
255277,15/07/2017,75114,16,43,27
256023,15/07/2017,78575,9,40,22
256097,15/07/2017,91122,10,41,24
256139,15/07/2017,91272,10,41,24
256165,15/07/2017,91377,14,44,25
256189,15/07/2017,91471,11,42,24
256191,15/07/2017,91477,12,43,24
256256,15/07/2017,92002,14,44,25
256261,15/07/2017,92014,13,44,25
256293,15/07/2017,93005,17,47,25
256295,15/07/2017,93007,15,46,25
256298,15/07/2017,93013,14,46,25
256301,15/07/2017,93027,15,46,27
256302,15/07/2017,93029,15,46,25
256323,15/07/2017,93066,18,45,29
256330,15/07/2017,93078,20,48,25
256334,15/07/2017,94003,14,43,27
256347,15/07/2017,94037,14,43,27
256523,15/07/2017,95527,16,47,27
256575,16/07/2017,75103,13,30,29
256577,16/07/2017,75105,13,31,27
256582,16/07/2017,75110,13,30,29
256586,16/07/2017,75114,15,31,27
257332,16/07/2017,78575,6,29,24
257406,16/07/2017,91122,6,31,22
257448,16/07/2017,91272,6,30,24
257474,16/07/2017,91377,7,34,24
257498,16/07/2017,91471,6,32,22
257500,16/07/2017,91477,6,33,22
257565,16/07/2017,92002,7,34,24
257570,16/07/2017,92014,8,33,24
257602,16/07/2017,93005,22,33,25
257604,16/07/2017,93007,17,32,24
257607,16/07/2017,93013,12,33,24
257610,16/07/2017,93027,10,33,24
257611,16/07/2017,93029,15,33,24
257632,16/07/2017,93066,11,33,27
257639,16/07/2017,93078,25,32,25
257643,16/07/2017,94003,10,32,27
257656,16/07/2017,94037,10,31,27
257832,16/07/2017,95527,22,30,25
257884,17/07/2017,75103,13,30,27
257886,17/07/2017,75105,14,31,30
257891,17/07/2017,75110,13,31,27
257895,17/07/2017,75114,16,32,34
258641,17/07/2017,78575,9,47,32
258715,17/07/2017,91122,10,45,34
258757,17/07/2017,91272,10,46,34
258783,17/07/2017,91377,12,40,34
258807,17/07/2017,91471,11,43,34
258809,17/07/2017,91477,11,41,34
258874,17/07/2017,92002,14,38,34
258879,17/07/2017,92014,14,34,34
258911,17/07/2017,93005,13,33,25
258913,17/07/2017,93007,12,32,24
258916,17/07/2017,93013,11,31,24
258919,17/07/2017,93027,11,31,24
258920,17/07/2017,93029,12,32,24
258941,17/07/2017,93066,12,31,27
258948,17/07/2017,93078,14,32,25
258952,17/07/2017,94003,15,33,32
258965,17/07/2017,94037,15,32,32
259141,17/07/2017,95527,12,32,24
259193,18/07/2017,75103,35,52,42
259195,18/07/2017,75105,36,54,44
259200,18/07/2017,75110,40,52,44
259204,18/07/2017,75114,35,56,44
259950,18/07/2017,78575,13,58,37
260024,18/07/2017,91122,13,60,39
260066,18/07/2017,91272,14,60,39
260092,18/07/2017,91377,18,59,42
260116,18/07/2017,91471,14,60,39
260118,18/07/2017,91477,15,59,40
260183,18/07/2017,92002,20,58,42
260188,18/07/2017,92014,22,57,42
260220,18/07/2017,93005,22,57,39
260222,18/07/2017,93007,25,56,40
260225,18/07/2017,93013,30,56,40
260228,18/07/2017,93027,36,56,40
260229,18/07/2017,93029,30,56,40
260250,18/07/2017,93066,44,57,42
260257,18/07/2017,93078,20,58,39
260261,18/07/2017,94003,31,56,44
260274,18/07/2017,94037,35,56,44
260450,18/07/2017,95527,21,56,39
260502,19/07/2017,75103,36,38,50
260504,19/07/2017,75105,34,40,49
260509,19/07/2017,75110,37,38,50
260513,19/07/2017,75114,29,42,49
261259,19/07/2017,78575,9,50,45
261333,19/07/2017,91122,11,50,47
261375,19/07/2017,91272,11,50,47
261401,19/07/2017,91377,16,48,50
261425,19/07/2017,91471,12,50,49
261427,19/07/2017,91477,14,49,49
261492,19/07/2017,92002,18,47,50
261497,19/07/2017,92014,19,45,50
261529,19/07/2017,93005,28,48,45
261531,19/07/2017,93007,29,45,45
261534,19/07/2017,93013,30,44,45
261537,19/07/2017,93027,32,43,47
261538,19/07/2017,93029,30,45,47
261559,19/07/2017,93066,35,42,49
261566,19/07/2017,93078,25,50,44
261570,19/07/2017,94003,24,43,50
261583,19/07/2017,94037,27,42,50
261759,19/07/2017,95527,28,48,44
261811,20/07/2017,75103,15,24,20
261813,20/07/2017,75105,14,24,20
261818,20/07/2017,75110,17,25,20
261822,20/07/2017,75114,15,25,20
262568,20/07/2017,78575,18,28,17
262642,20/07/2017,91122,20,28,19
262684,20/07/2017,91272,19,28,19
262710,20/07/2017,91377,23,26,20
262734,20/07/2017,91471,21,28,19
262736,20/07/2017,91477,22,27,19
262801,20/07/2017,92002,23,26,20
262806,20/07/2017,92014,19,25,20
262838,20/07/2017,93005,23,28,20
262840,20/07/2017,93007,23,27,20
262843,20/07/2017,93013,20,27,20
262846,20/07/2017,93027,19,28,20
262847,20/07/2017,93029,23,27,20
262868,20/07/2017,93066,20,28,20
262875,20/07/2017,93078,25,28,20
262879,20/07/2017,94003,17,25,20
262892,20/07/2017,94037,16,25,20
263068,20/07/2017,95527,23,29,20
263120,21/07/2017,75103,25,30,35
263122,21/07/2017,75105,24,30,35
263127,21/07/2017,75110,26,31,35
263131,21/07/2017,75114,21,33,34
263877,21/07/2017,78575,20,36,25
263951,21/07/2017,91122,23,36,27
263993,21/07/2017,91272,23,36,27
264019,21/07/2017,91377,25,35,30
264043,21/07/2017,91471,24,36,29
264045,21/07/2017,91477,24,35,29
264110,21/07/2017,92002,26,35,30
264115,21/07/2017,92014,25,35,32
264147,21/07/2017,93005,27,38,35
264149,21/07/2017,93007,29,37,35
264152,21/07/2017,93013,29,36,35
264155,21/07/2017,93027,29,36,34
264156,21/07/2017,93029,29,36,35
264177,21/07/2017,93066,27,35,32
264184,21/07/2017,93078,23,39,35
264188,21/07/2017,94003,23,33,34
264201,21/07/2017,94037,22,33,34
264377,21/07/2017,95527,24,38,35
264429,22/07/2017,75103,21,21,19
264431,22/07/2017,75105,23,22,17
264436,22/07/2017,75110,20,23,19
264440,22/07/2017,75114,22,23,17
265186,22/07/2017,78575,7,27,14
265260,22/07/2017,91122,10,27,15
265302,22/07/2017,91272,9,27,15
265328,22/07/2017,91377,16,25,17
265352,22/07/2017,91471,11,26,15
265354,22/07/2017,91477,13,26,15
265419,22/07/2017,92002,17,25,17
265424,22/07/2017,92014,18,24,17
265456,22/07/2017,93005,20,26,17
265458,22/07/2017,93007,21,26,19
265461,22/07/2017,93013,21,26,17
265464,22/07/2017,93027,22,27,19
265465,22/07/2017,93029,21,26,19
265486,22/07/2017,93066,22,27,19
265493,22/07/2017,93078,17,26,15
265497,22/07/2017,94003,20,23,17
265510,22/07/2017,94037,22,23,17
265686,22/07/2017,95527,20,26,15
265738,23/07/2017,75103,14,23,20
265740,23/07/2017,75105,12,24,20
265745,23/07/2017,75110,16,25,20
265749,23/07/2017,75114,12,26,20
266495,23/07/2017,78575,4,30,17
266569,23/07/2017,91122,6,30,19
266611,23/07/2017,91272,5,30,19
266637,23/07/2017,91377,11,29,20
266661,23/07/2017,91471,6,30,19
266663,23/07/2017,91477,7,30,19
266728,23/07/2017,92002,12,29,20
266733,23/07/2017,92014,10,28,20
266765,23/07/2017,93005,13,28,19
266767,23/07/2017,93007,12,28,19
266770,23/07/2017,93013,12,28,19
266773,23/07/2017,93027,14,28,19
266774,23/07/2017,93029,13,27,19
266795,23/07/2017,93066,17,28,19
266802,23/07/2017,93078,14,28,19
266806,23/07/2017,94003,11,27,20
266819,23/07/2017,94037,11,26,20
266995,23/07/2017,95527,13,28,17
267047,24/07/2017,75103,16,29,22
267049,24/07/2017,75105,15,29,22
267054,24/07/2017,75110,16,29,22
267058,24/07/2017,75114,15,29,22
267804,24/07/2017,78575,8,33,17
267878,24/07/2017,91122,9,33,17
267920,24/07/2017,91272,9,34,17
267946,24/07/2017,91377,11,32,20
267970,24/07/2017,91471,10,33,19
267972,24/07/2017,91477,10,32,19
268037,24/07/2017,92002,11,32,20
268042,24/07/2017,92014,11,31,20
268074,24/07/2017,93005,13,34,19
268076,24/07/2017,93007,12,33,17
268079,24/07/2017,93013,12,33,17
268082,24/07/2017,93027,14,33,17
268083,24/07/2017,93029,13,33,17
268104,24/07/2017,93066,15,33,19
268111,24/07/2017,93078,14,34,19
268115,24/07/2017,94003,13,30,22
268128,24/07/2017,94037,13,29,22
268304,24/07/2017,95527,12,34,19
268356,25/07/2017,75103,16,32,20
268358,25/07/2017,75105,17,33,20
268363,25/07/2017,75110,20,32,20
268367,25/07/2017,75114,19,33,20
269113,25/07/2017,78575,10,39,17
269187,25/07/2017,91122,11,40,17
269229,25/07/2017,91272,11,40,17
269255,25/07/2017,91377,14,37,19
269279,25/07/2017,91471,12,39,17
269281,25/07/2017,91477,13,38,17
269346,25/07/2017,92002,14,37,19
269351,25/07/2017,92014,14,35,19
269383,25/07/2017,93005,19,37,14
269385,25/07/2017,93007,16,37,14
269388,25/07/2017,93013,15,36,14
269391,25/07/2017,93027,17,37,15
269392,25/07/2017,93029,15,36,14
269413,25/07/2017,93066,21,36,19
269420,25/07/2017,93078,22,37,14
269424,25/07/2017,94003,16,34,20
269437,25/07/2017,94037,17,33,20
269613,25/07/2017,95527,17,37,15
269665,26/07/2017,75103,35,30,25
269667,26/07/2017,75105,33,31,25
269672,26/07/2017,75110,34,33,25
269676,26/07/2017,75114,30,33,22
270422,26/07/2017,78575,13,37,14
270496,26/07/2017,91122,17,38,15
270538,26/07/2017,91272,16,38,15
270564,26/07/2017,91377,27,37,19
270588,26/07/2017,91471,19,38,15
270590,26/07/2017,91477,23,38,17
270655,26/07/2017,92002,28,37,19
270660,26/07/2017,92014,29,36,19
270692,26/07/2017,93005,34,38,22
270694,26/07/2017,93007,36,37,22
270697,26/07/2017,93013,36,37,22
270700,26/07/2017,93027,37,38,22
270701,26/07/2017,93029,37,37,22
270722,26/07/2017,93066,35,38,22
270729,26/07/2017,93078,31,38,22
270733,26/07/2017,94003,30,34,20
270746,26/07/2017,94037,31,33,22
270922,26/07/2017,95527,32,39,22
270974,27/07/2017,75103,23,28,24
270976,27/07/2017,75105,22,28,24
270981,27/07/2017,75110,23,28,24
270985,27/07/2017,75114,21,29,24
271731,27/07/2017,78575,10,34,17
271805,27/07/2017,91122,12,35,19
271847,27/07/2017,91272,11,35,19
271873,27/07/2017,91377,17,33,20
271897,27/07/2017,91471,12,34,19
271899,27/07/2017,91477,14,34,19
271964,27/07/2017,92002,18,33,20
271969,27/07/2017,92014,18,32,20
272001,27/07/2017,93005,24,31,20
272003,27/07/2017,93007,22,31,19
272006,27/07/2017,93013,21,31,19
272009,27/07/2017,93027,23,31,19
272010,27/07/2017,93029,22,30,19
272031,27/07/2017,93066,23,31,20
272038,27/07/2017,93078,27,31,20
272042,27/07/2017,94003,18,30,22
272055,27/07/2017,94037,18,29,22
272231,27/07/2017,95527,23,32,19
272283,28/07/2017,75103,20,23,27
272285,28/07/2017,75105,19,23,27
272290,28/07/2017,75110,19,24,27
272294,28/07/2017,75114,17,25,27
273040,28/07/2017,78575,10,29,22
273114,28/07/2017,91122,11,29,24
273156,28/07/2017,91272,11,29,22
273182,28/07/2017,91377,15,28,24
273206,28/07/2017,91471,12,28,24
273208,28/07/2017,91477,13,28,24
273273,28/07/2017,92002,15,27,25
273278,28/07/2017,92014,15,26,25
273310,28/07/2017,93005,27,27,27
273312,28/07/2017,93007,23,27,25
273315,28/07/2017,93013,19,27,25
273318,28/07/2017,93027,20,28,25
273319,28/07/2017,93029,23,27,25
273340,28/07/2017,93066,19,28,25
273347,28/07/2017,93078,28,27,27
273351,28/07/2017,94003,16,25,25
273364,28/07/2017,94037,17,25,27
273540,28/07/2017,95527,20,28,27
273592,29/07/2017,75103,14,26,22
273594,29/07/2017,75105,13,27,20
273599,29/07/2017,75110,14,28,20
273603,29/07/2017,75114,11,28,20
274349,29/07/2017,78575,5,33,17
274423,29/07/2017,91122,5,34,19
274465,29/07/2017,91272,5,34,19
274491,29/07/2017,91377,6,32,20
274515,29/07/2017,91471,5,33,19
274517,29/07/2017,91477,5,33,20
274582,29/07/2017,92002,7,31,20
274587,29/07/2017,92014,6,30,22
274619,29/07/2017,93005,7,31,20
274621,29/07/2017,93007,7,30,20
274624,29/07/2017,93013,8,30,20
274627,29/07/2017,93027,9,30,20
274628,29/07/2017,93029,8,30,20
274649,29/07/2017,93066,11,30,20
274656,29/07/2017,93078,7,32,20
274660,29/07/2017,94003,6,29,22
274673,29/07/2017,94037,6,29,22
274849,29/07/2017,95527,9,31,20
274901,30/07/2017,75103,14,29,14
274903,30/07/2017,75105,14,30,14
274908,30/07/2017,75110,14,31,14
274912,30/07/2017,75114,12,32,15
275658,30/07/2017,78575,5,35,12
275732,30/07/2017,91122,6,35,14
275774,30/07/2017,91272,5,35,14
275800,30/07/2017,91377,10,34,15
275824,30/07/2017,91471,6,35,14
275826,30/07/2017,91477,8,34,15
275891,30/07/2017,92002,11,34,15
275896,30/07/2017,92014,11,33,15
275928,30/07/2017,93005,9,34,15
275930,30/07/2017,93007,8,33,15
275933,30/07/2017,93013,8,33,14
275936,30/07/2017,93027,9,34,14
275937,30/07/2017,93029,8,33,15
275958,30/07/2017,93066,10,34,14
275965,30/07/2017,93078,10,34,15
275969,30/07/2017,94003,11,33,15
275982,30/07/2017,94037,11,32,15
276158,30/07/2017,95527,10,34,14
276210,31/07/2017,75103,25,27,25
276212,31/07/2017,75105,24,28,25
276217,31/07/2017,75110,30,28,25
276221,31/07/2017,75114,24,30,25
276967,31/07/2017,78575,11,34,19
277041,31/07/2017,91122,12,35,22
277083,31/07/2017,91272,12,35,20
277109,31/07/2017,91377,17,33,25
277133,31/07/2017,91471,12,34,22
277135,31/07/2017,91477,14,34,24
277200,31/07/2017,92002,19,32,25
277205,31/07/2017,92014,21,31,25
277237,31/07/2017,93005,23,37,27
277239,31/07/2017,93007,23,35,27
277242,31/07/2017,93013,22,34,25
277245,31/07/2017,93027,25,34,25
277246,31/07/2017,93029,23,35,27
277267,31/07/2017,93066,31,33,25
277274,31/07/2017,93078,22,38,25
277278,31/07/2017,94003,23,30,25
277291,31/07/2017,94037,24,30,27
277467,31/07/2017,95527,23,36,25
277519,01/08/2017,75103,33,38,35
277521,01/08/2017,75105,33,38,35
277526,01/08/2017,75110,34,39,37
277530,01/08/2017,75114,33,40,37
278276,01/08/2017,78575,15,43,27
278350,01/08/2017,91122,17,45,29
278392,01/08/2017,91272,17,45,29
278418,01/08/2017,91377,21,43,32
278442,01/08/2017,91471,17,45,29
278444,01/08/2017,91477,19,44,30
278509,01/08/2017,92002,24,43,34
278514,01/08/2017,92014,25,43,34
278546,01/08/2017,93005,26,43,29
278548,01/08/2017,93007,27,42,29
278551,01/08/2017,93013,28,42,29
278554,01/08/2017,93027,30,42,29
278555,01/08/2017,93029,29,42,29
278576,01/08/2017,93066,32,42,34
278583,01/08/2017,93078,22,43,29
278587,01/08/2017,94003,29,41,35
278600,01/08/2017,94037,31,40,35
278776,01/08/2017,95527,21,42,29
278828,02/08/2017,75103,38,33,32
278830,02/08/2017,75105,37,35,32
278835,02/08/2017,75110,38,36,32
278839,02/08/2017,75114,34,37,32
279585,02/08/2017,78575,8,45,24
279659,02/08/2017,91122,10,47,24
279701,02/08/2017,91272,9,46,24
279727,02/08/2017,91377,16,44,27
279751,02/08/2017,91471,11,46,24
279753,02/08/2017,91477,13,45,25
279818,02/08/2017,92002,18,43,29
279823,02/08/2017,92014,20,40,29
279855,02/08/2017,93005,35,41,27
279857,02/08/2017,93007,36,40,29
279860,02/08/2017,93013,37,40,27
279863,02/08/2017,93027,40,40,27
279864,02/08/2017,93029,38,40,29
279885,02/08/2017,93066,39,40,27
279892,02/08/2017,93078,37,41,25
279896,02/08/2017,94003,26,38,30
279909,02/08/2017,94037,28,38,32
280085,02/08/2017,95527,32,40,25
280137,03/08/2017,75103,16,32,25
280139,03/08/2017,75105,16,32,25
280144,03/08/2017,75110,15,34,25
280148,03/08/2017,75114,14,34,25
280894,03/08/2017,78575,6,40,20
280968,03/08/2017,91122,7,40,20
281010,03/08/2017,91272,6,40,20
281036,03/08/2017,91377,10,38,24
281060,03/08/2017,91471,7,40,22
281062,03/08/2017,91477,8,40,22
281127,03/08/2017,92002,10,38,24
281132,03/08/2017,92014,11,36,24
281164,03/08/2017,93005,14,38,22
281166,03/08/2017,93007,14,37,22
281169,03/08/2017,93013,13,36,20
281172,03/08/2017,93027,13,36,20
281173,03/08/2017,93029,14,37,22
281194,03/08/2017,93066,13,36,22
281201,03/08/2017,93078,15,38,22
281205,03/08/2017,94003,13,35,25
281218,03/08/2017,94037,14,34,25
281394,03/08/2017,95527,14,38,22
281446,04/08/2017,75103,16,30,29
281448,04/08/2017,75105,16,30,29
281453,04/08/2017,75110,18,31,29
281457,04/08/2017,75114,17,31,30
282203,04/08/2017,78575,6,35,25
282277,04/08/2017,91122,8,37,27
282319,04/08/2017,91272,7,36,27
282345,04/08/2017,91377,10,35,29
282369,04/08/2017,91471,8,36,27
282371,04/08/2017,91477,9,35,27
282436,04/08/2017,92002,10,34,29
282441,04/08/2017,92014,11,33,29
282473,04/08/2017,93005,10,35,24
282475,04/08/2017,93007,9,34,24
282478,04/08/2017,93013,9,34,22
282481,04/08/2017,93027,11,34,24
282482,04/08/2017,93029,9,34,22
282503,04/08/2017,93066,15,34,25
282510,04/08/2017,93078,11,35,24
282514,04/08/2017,94003,12,32,29
282527,04/08/2017,94037,12,32,29
282703,04/08/2017,95527,11,35,22
282755,05/08/2017,75103,16,32,17
282757,05/08/2017,75105,16,31,17
282762,05/08/2017,75110,16,33,17
282766,05/08/2017,75114,16,32,17
283512,05/08/2017,78575,7,35,14
283586,05/08/2017,91122,7,36,14
283628,05/08/2017,91272,7,35,15
283654,05/08/2017,91377,7,35,15
283678,05/08/2017,91471,7,35,15
283680,05/08/2017,91477,7,35,15
283745,05/08/2017,92002,8,34,17
283750,05/08/2017,92014,9,34,17
283782,05/08/2017,93005,16,36,14
283784,05/08/2017,93007,13,35,14
283787,05/08/2017,93013,9,35,12
283790,05/08/2017,93027,8,35,14
283791,05/08/2017,93029,11,35,12
283812,05/08/2017,93066,11,35,15
283819,05/08/2017,93078,18,35,14
283823,05/08/2017,94003,13,33,17
283836,05/08/2017,94037,14,32,17
284012,05/08/2017,95527,18,36,14
284064,06/08/2017,75103,15,41,20
284066,06/08/2017,75105,14,41,20
284071,06/08/2017,75110,19,41,20
284075,06/08/2017,75114,18,40,20
284821,06/08/2017,78575,10,40,15
284895,06/08/2017,91122,12,41,15
284937,06/08/2017,91272,11,41,15
284963,06/08/2017,91377,17,42,19
284987,06/08/2017,91471,13,41,15
284989,06/08/2017,91477,15,41,17
285054,06/08/2017,92002,17,42,19
285059,06/08/2017,92014,18,42,20
285091,06/08/2017,93005,27,43,20
285093,06/08/2017,93007,28,43,20
285096,06/08/2017,93013,23,43,19
285099,06/08/2017,93027,22,43,19
285100,06/08/2017,93029,30,43,20
285121,06/08/2017,93066,22,43,20
285128,06/08/2017,93078,22,42,19
285132,06/08/2017,94003,17,40,20
285145,06/08/2017,94037,16,40,20
285321,06/08/2017,95527,19,40,17
285373,07/08/2017,75103,25,46,22
285375,07/08/2017,75105,26,46,22
285380,07/08/2017,75110,27,46,24
285384,07/08/2017,75114,28,46,24
286130,07/08/2017,78575,14,51,20
286204,07/08/2017,91122,16,50,20
286246,07/08/2017,91272,16,51,20
286272,07/08/2017,91377,21,47,22
286296,07/08/2017,91471,17,49,20
286298,07/08/2017,91477,19,48,22
286363,07/08/2017,92002,22,46,22
286368,07/08/2017,92014,23,45,24
286400,07/08/2017,93005,29,47,20
286402,07/08/2017,93007,29,47,20
286405,07/08/2017,93013,26,47,19
286408,07/08/2017,93027,26,48,20
286409,07/08/2017,93029,31,47,19
286430,07/08/2017,93066,27,49,22
286437,07/08/2017,93078,25,47,20
286441,07/08/2017,94003,26,45,24
286454,07/08/2017,94037,27,45,24
286630,07/08/2017,95527,21,47,20
286682,08/08/2017,75103,31,28,22
286684,08/08/2017,75105,30,29,22
286689,08/08/2017,75110,32,28,22
286693,08/08/2017,75114,29,30,20
287439,08/08/2017,78575,14,32,15
287513,08/08/2017,91122,17,33,15
287555,08/08/2017,91272,16,33,15
287581,08/08/2017,91377,25,32,17
287605,08/08/2017,91471,18,32,15
287607,08/08/2017,91477,21,32,15
287672,08/08/2017,92002,27,32,17
287677,08/08/2017,92014,28,31,17
287709,08/08/2017,93005,33,31,22
287711,08/08/2017,93007,32,31,20
287714,08/08/2017,93013,31,31,19
287717,08/08/2017,93027,34,31,19
287718,08/08/2017,93029,33,30,20
