,date,ninsee,no2,o3,pm10
379356,18/10/2017,93027,47,20,54
379357,18/10/2017,93029,45,21,52
379378,18/10/2017,93066,49,19,57
379385,18/10/2017,93078,39,28,45
379389,18/10/2017,94003,44,21,52
379402,18/10/2017,94037,45,21,52
379578,18/10/2017,95527,38,26,47
379630,19/10/2017,75103,35,25,39
379632,19/10/2017,75105,34,25,39
379637,19/10/2017,75110,35,26,39
379641,19/10/2017,75114,31,25,37
380387,19/10/2017,78575,21,30,25
380461,19/10/2017,91122,22,30,27
380503,19/10/2017,91272,23,30,27
380529,19/10/2017,91377,26,30,32
380553,19/10/2017,91471,24,30,29
380555,19/10/2017,91477,25,30,30
380620,19/10/2017,92002,28,29,34
380625,19/10/2017,92014,28,28,34
380657,19/10/2017,93005,31,30,32
380659,19/10/2017,93007,32,28,34
380662,19/10/2017,93013,33,28,34
380665,19/10/2017,93027,35,28,34
380666,19/10/2017,93029,33,28,34
380687,19/10/2017,93066,36,27,35
380694,19/10/2017,93078,28,31,30
380698,19/10/2017,94003,29,26,35
380711,19/10/2017,94037,30,26,37
380887,19/10/2017,95527,29,30,30
380939,20/10/2017,75103,36,26,27
380941,20/10/2017,75105,38,26,25
380946,20/10/2017,75110,35,28,27
380950,20/10/2017,75114,37,28,25
381696,20/10/2017,78575,13,31,22
381770,20/10/2017,91122,17,31,24
381812,20/10/2017,91272,16,31,24
381838,20/10/2017,91377,27,30,25
381862,20/10/2017,91471,19,30,24
381864,20/10/2017,91477,24,30,25
381929,20/10/2017,92002,30,30,25
381934,20/10/2017,92014,32,29,25
381966,20/10/2017,93005,36,30,29
381968,20/10/2017,93007,36,30,29
381971,20/10/2017,93013,36,30,29
381974,20/10/2017,93027,36,30,29
381975,20/10/2017,93029,37,30,30
381996,20/10/2017,93066,34,30,27
382003,20/10/2017,93078,35,30,25
382007,20/10/2017,94003,35,28,25
382020,20/10/2017,94037,38,28,27
382196,20/10/2017,95527,35,30,25
382248,21/10/2017,75103,17,25,22
382250,21/10/2017,75105,16,26,22
382255,21/10/2017,75110,17,27,22
382259,21/10/2017,75114,15,28,22
383005,21/10/2017,78575,5,30,19
383079,21/10/2017,91122,6,30,19
383121,21/10/2017,91272,6,30,19
383147,21/10/2017,91377,8,30,20
383171,21/10/2017,91471,6,30,19
383173,21/10/2017,91477,7,30,20
383238,21/10/2017,92002,9,30,20
383243,21/10/2017,92014,9,29,22
383275,21/10/2017,93005,10,30,22
383277,21/10/2017,93007,11,29,22
383280,21/10/2017,93013,12,29,20
383283,21/10/2017,93027,14,29,20
383284,21/10/2017,93029,12,29,20
383305,21/10/2017,93066,17,29,20
383312,21/10/2017,93078,9,30,22
383316,21/10/2017,94003,12,28,22
383329,21/10/2017,94037,13,27,22
383505,21/10/2017,95527,10,30,20
383557,22/10/2017,75103,17,28,20
383559,22/10/2017,75105,16,28,20
383564,22/10/2017,75110,16,29,20
383568,22/10/2017,75114,14,30,20
384314,22/10/2017,78575,7,32,19
384388,22/10/2017,91122,8,32,19
384430,22/10/2017,91272,7,32,19
384456,22/10/2017,91377,8,32,20
384480,22/10/2017,91471,8,32,19
384482,22/10/2017,91477,8,32,20
384547,22/10/2017,92002,9,32,20
384552,22/10/2017,92014,9,30,20
384584,22/10/2017,93005,11,31,19
384586,22/10/2017,93007,10,31,19
384589,22/10/2017,93013,11,31,17
384592,22/10/2017,93027,13,31,17
384593,22/10/2017,93029,12,31,17
384614,22/10/2017,93066,13,31,17
384621,22/10/2017,93078,10,31,19
384625,22/10/2017,94003,11,30,20
384638,22/10/2017,94037,12,30,20
384814,22/10/2017,95527,9,32,19
384866,23/10/2017,75103,30,20,19
384868,23/10/2017,75105,30,20,17
384873,23/10/2017,75110,29,21,17
384877,23/10/2017,75114,28,20,17
385623,23/10/2017,78575,13,25,12
385697,23/10/2017,91122,15,25,12
385739,23/10/2017,91272,15,25,12
385765,23/10/2017,91377,20,23,15
385789,23/10/2017,91471,16,24,14
385791,23/10/2017,91477,18,24,14
385856,23/10/2017,92002,22,23,15
385861,23/10/2017,92014,23,22,17
385893,23/10/2017,93005,29,23,19
385895,23/10/2017,93007,30,23,17
385898,23/10/2017,93013,31,23,17
385901,23/10/2017,93027,32,23,17
385902,23/10/2017,93029,31,23,17
385923,23/10/2017,93066,31,23,15
385930,23/10/2017,93078,29,21,19
385934,23/10/2017,94003,26,20,17
385947,23/10/2017,94037,27,20,17
386123,23/10/2017,95527,28,22,17
386175,24/10/2017,75103,28,15,20
386177,24/10/2017,75105,27,15,20
386182,24/10/2017,75110,28,16,20
386186,24/10/2017,75114,25,15,19
386932,24/10/2017,78575,11,20,14
387006,24/10/2017,91122,12,20,14
387048,24/10/2017,91272,12,20,14
387074,24/10/2017,91377,18,18,17
387098,24/10/2017,91471,14,20,14
387100,24/10/2017,91477,16,19,15
387165,24/10/2017,92002,20,17,17
387170,24/10/2017,92014,21,15,19
387202,24/10/2017,93005,28,15,24
387204,24/10/2017,93007,29,15,24
387207,24/10/2017,93013,29,15,22
